X_Force,Y_Force
4.58361584332316,9.07203477428103
4.55374944609031,9.37724149228757
4.47193124484414,9.64613735467598
4.3374646346931,9.88274129184389
4.15179107563396,10.0897064095919
3.91852313466247,10.2679668632224
3.64330023961544,10.4165684324888
3.33347941593728,10.53272407506
2.99769300068328,10.6121164721701
2.64531627965777,10.6494332209773
2.28589452550961,10.6390817019185
1.92858211802572,10.5760014697396
1.58163832235604,10.4564735903837
1.25200862585017,10.2788216171103
0.945013180496185,10.0439149138922
0.664165791058232,9.75541863930118
0.41114295487598,9.41977068144672
0.185906121303238,9.04589554933959
-0.0130431169196467,8.64469283830963
-0.188317202803456,8.22836493801327
-0.343255903292362,7.80966659165938
-0.481536592193345,7.40115969288241
-0.60680607791753,7.01454297779064
-0.722360470559494,6.6601074592736
-0.830908603753007,6.34634826564009
-0.934451052220515,6.0797395573728
-1.03428116073165,5.86465598709105
-1.13107758531471,5.70341132189083
-1.22503606874618,5.5963808608263
-1.3159941252233,5.54217086823118
-1.40351988617587,5.53779706083342
-1.48694899866908,5.57884246196572
-1.5653642194113,5.65958109731371
-1.63752642399136,5.7730698261629
-1.70177994193923,5.9112216600523
-1.75596652849845,6.06488079540363
-1.79738645325185,6.22392281409538
-1.82283507668619,6.37740177600779
-1.8287233993179,6.5137585461852
-1.81127492987993,6.62109441149494
-1.76678118314287,6.68750509880141
-1.69188670908543,6.70146331504576
-1.58386132226646,6.65223130350139
-1.44081199622,6.53028050881573
-1.26180051882366,6.32769587645401
-1.04686369248554,6.03854511685118
-0.796960975131814,5.65919444338743
-0.513880576206923,5.18855257545774
-0.20012326519979,4.62822655605076
0.141224981401665,3.98257390194247
0.506615483859525,3.25863305970674
0.892135006933311,2.4659135822708
1.29357459776315,1.61603792490447
1.70649132478557,0.722247996575393
2.12629934630482,-0.201188570738414
2.54840693654855,-1.13962333704771
2.96837308267669,-2.0786671024259
3.38202955209152,-3.00476639834547
3.7855241151359,-3.90566288447999
4.17527274021893,-4.77069966434583
4.54783998430344,-5.59096409121376
4.89978729940172,-6.35928056113033
5.22753600821553,-7.07008305560394
5.52728793580358,-7.71920509306049
5.79503517998381,-8.30362781839199
6.02667119620111,-8.82122691283903
6.21819356830713,-9.27055144663679
6.36597345728743,-9.65065269712529
6.46705856022546,-9.96096692828137
6.51946919501003,-10.2012472333339
6.52243787127115,-10.3715330664123
6.4765374611024,-10.4721443730708
6.38365291465005,-10.503695588011
6.24678279364778,-10.467138052282
6.06970412890225,-10.3638447704231
5.85657936131045,-10.1957446156912
5.61160490165366,-9.96550086738961
5.33878334389098,-9.67671674119913
5.04185402416832,-9.33413786522549
4.72436726021656,-8.94381075102379
4.38985634264407,-8.51315552482266
4.04204391886672,-8.05092334964757
3.68500842832477,-7.56702540283863
3.3232426185699,-7.07223414678217
2.96157210205894,-6.57777275955139
2.60495356886923,-6.09482684001876
2.25820714639739,-5.63402583595879
1.92573986624873,-5.20494440845043
1.61130425920663,-4.81567023743381
1.31782890589068,-4.47247883206658
1.04735083334681,-4.17964519993773
0.80105722703117,-3.93940357096819
0.579413177883082,-3.75204393720818
0.382335747712291,-3.61611684642661
0.209378746839321,-3.52870933773873
0.0599031093620506,-3.48575185591544
-0.0667856152393203,-3.48231658830994
-0.171344122639916,-3.51287475126839
-0.254341993321801,-3.57149513027464
-0.316243195915551,-3.65198370325613
-0.35740088946705,-3.74797604533984
-0.378054717839681,-3.85299562415081
-0.378334201279135,-3.96048596629396
-0.358282121960056,-4.06382043901753
-0.31790666921074,-4.15629198040399
-0.257254466921433,-4.23108562905911
-0.176485794889359,-4.28124123734916
-0.0759368963256779,-4.29962293866182
0.0438366013643391,-4.27892172584089
0.182035011896904,-4.21172346516818
0.337604112967077,-4.09067345070808
0.509232241922816,-3.90875686163118
0.695354653302055,-3.65969249032538
0.894177625572677,-3.33841188553586
1.10374117078488,-2.94157605192531
1.32202943873529,-2.46806856348987
1.54711510622292,-1.91939506931134
1.77730033673483,-1.29991997437161
2.01120659489425,-0.616890807186355
2.24777711343925,0.119764468186966
2.48618305145533,0.897848472338023
2.72565322099516,1.70347403296908
2.96526660958666,2.52176538435783
3.20374549199114,3.33763331877184
3.43926730303324,4.13656962662165
3.66930280594228,4.90539329736715
3.89049590780966,5.63288017890844
4.09860674642446,6.31022294718892
4.28853983541943,6.93128720688385
4.45447875185867,7.49265077707162
4.59013716020785,7.99343904473527
4.68911265181851,8.43499086626321
4.74531688249584,8.82039833599427
4.75345534395067,9.15396201217643
