Episode ,xVel,yVel,yawRate,pitchRate,zVel,rollRate,work,groundContact,tailStatus,baseReward,crash,simpleTrainingPenalties,yPos,orientation
Weights: ,1,0,0,0,0,0,0,0,0,0,0,0,0,1

Config:
keepBalance, "True"
RandomXVelocity, "True"
RandomYVelocity, "False"
RandomAngularVelocity, "False"
RandomStart, "True"
LongEpisodes, "False"
Swimming, "True"
Transition, "False"
Landing, "False"
2D, "False"
LegPhases, "False"
LegAmplitudes, "False"
LegRotations, "False"
SpinePhases, "True"
SpineAmplitudes, "True"
SpinePitch, "True"
Buoyancy, "True"
Tail, "True"
Analysis, "False"

Values:
2,3.577603,0,0,0,0,0,0,0,0,0,0,0,0,14.93297
2,5.761894,0,0,0,0,0,0,0,0,0,0,0,0,12.89646
2,5.027588,0,0,0,0,0,0,0,0,0,0,0,0,24.32063
2,3.344364,0,0,0,0,0,0,0,0,0,0,0,0,18.76932
2,8.446973,0,0,0,0,0,0,0,0,0,0,0,0,14.58142
2,6.516524,0,0,0,0,0,0,0,0,0,0,0,0,18.2723
2,5.269852,0,0,0,0,0,0,0,0,0,0,0,0,23.29976
2,7.063082,0,0,0,0,0,0,0,0,0,0,0,0,23.48938
2,4.402597,0,0,0,0,0,0,0,0,0,0,0,0,19.32404
2,6.171387,0,0,0,0,0,0,0,0,0,0,0,0,14.5226
2,7.354999,0,0,0,0,0,0,0,0,0,0,0,0,22.09897
2,7.534807,0,0,0,0,0,0,0,0,0,0,0,0,20.66566
2,8.702556,0,0,0,0,0,0,0,0,0,0,0,0,21.09176
2,7.303031,0,0,0,0,0,0,0,0,0,0,0,0,21.36612
2,4.602853,0,0,0,0,0,0,0,0,0,0,0,0,19.61448
2,7.191163,0,0,0,0,0,0,0,0,0,0,0,0,19.39628
2,9.264641,0,0,0,0,0,0,0,0,0,0,0,0,19.22924
2,4.718194,0,0,0,0,0,0,0,0,0,0,0,0,17.44034
2,5.788625,0,0,0,0,0,0,0,0,0,0,0,0,13.46683
2,3.938747,0,0,0,0,0,0,0,0,0,0,0,0,21.04941
2,7.376234,0,0,0,0,0,0,0,0,0,0,0,0,19.56364
2,5.583579,0,0,0,0,0,0,0,0,0,0,0,0,18.95366
2,9.232554,0,0,0,0,0,0,0,0,0,0,0,0,22.17662
2,6.281833,0,0,0,0,0,0,0,0,0,0,0,0,25.89032
2,10.23908,0,0,0,0,0,0,0,0,0,0,0,0,13.59509
2,8.426815,0,0,0,0,0,0,0,0,0,0,0,0,21.3192
2,4.890333,0,0,0,0,0,0,0,0,0,0,0,0,21.36251
2,9.33241,0,0,0,0,0,0,0,0,0,0,0,0,17.84547
2,6.028914,0,0,0,0,0,0,0,0,0,0,0,0,23.02689
2,5.817791,0,0,0,0,0,0,0,0,0,0,0,0,19.03221
2,4.937036,0,0,0,0,0,0,0,0,0,0,0,0,27.62989
2,3.044239,0,0,0,0,0,0,0,0,0,0,0,0,19.19006
2,6.879769,0,0,0,0,0,0,0,0,0,0,0,0,19.01942
2,7.758579,0,0,0,0,0,0,0,0,0,0,0,0,19.18646
2,8.004896,0,0,0,0,0,0,0,0,0,0,0,0,19.03709
2,7.359194,0,0,0,0,0,0,0,0,0,0,0,0,19.9925
2,5.733023,0,0,0,0,0,0,0,0,0,0,0,0,20.86528
2,6.648304,0,0,0,0,0,0,0,0,0,0,0,0,19.25217
2,7.890358,0,0,0,0,0,0,0,0,0,0,0,0,17.40989
2,6.238232,0,0,0,0,0,0,0,0,0,0,0,0,22.313
2,7.152699,0,0,0,0,0,0,0,0,0,0,0,0,18.33102
2,7.67352,0,0,0,0,0,0,0,0,0,0,0,0,20.12432
2,9.530411,0,0,0,0,0,0,0,0,0,0,0,0,22.48458
2,3.803255,0,0,0,0,0,0,0,0,0,0,0,0,17.08727
2,7.94966,0,0,0,0,0,0,0,0,0,0,0,0,17.83284
2,4.453917,0,0,0,0,0,0,0,0,0,0,0,0,13.83868
2,7.423015,0,0,0,0,0,0,0,0,0,0,0,0,18.80243
2,6.76674,0,0,0,0,0,0,0,0,0,0,0,0,20.3834
2,4.442489,0,0,0,0,0,0,0,0,0,0,0,0,22.56892
2,7.13936,0,0,0,0,0,0,0,0,0,0,0,0,20.01718
2,5.711185,0,0,0,0,0,0,0,0,0,0,0,0,20.74208
2,6.438643,0,0,0,0,0,0,0,0,0,0,0,0,19.69789
2,5.098031,0,0,0,0,0,0,0,0,0,0,0,0,21.8438
2,8.441018,0,0,0,0,0,0,0,0,0,0,0,0,21.41118
2,6.412412,0,0,0,0,0,0,0,0,0,0,0,0,21.06719
2,7.913054,0,0,0,0,0,0,0,0,0,0,0,0,19.24428
2,9.488718,0,0,0,0,0,0,0,0,0,0,0,0,19.47461
2,11.13345,0,0,0,0,0,0,0,0,0,0,0,0,15.7621
2,5.81999,0,0,0,0,0,0,0,0,0,0,0,0,17.84331
2,7.886274,0,0,0,0,0,0,0,0,0,0,0,0,14.86202
2,9.224279,0,0,0,0,0,0,0,0,0,0,0,0,16.52492
2,7.098739,0,0,0,0,0,0,0,0,0,0,0,0,22.62944
2,8.126115,0,0,0,0,0,0,0,0,0,0,0,0,15.1234
2,5.716872,0,0,0,0,0,0,0,0,0,0,0,0,20.5403
2,5.570827,0,0,0,0,0,0,0,0,0,0,0,0,22.5072
2,4.205983,0,0,0,0,0,0,0,0,0,0,0,0,22.6201
2,10.10352,0,0,0,0,0,0,0,0,0,0,0,0,23.01124
2,7.527737,0,0,0,0,0,0,0,0,0,0,0,0,16.39795
2,5.921773,0,0,0,0,0,0,0,0,0,0,0,0,15.12029
2,8.9714,0,0,0,0,0,0,0,0,0,0,0,0,19.25084
2,7.451139,0,0,0,0,0,0,0,0,0,0,0,0,20.65705
2,6.046874,0,0,0,0,0,0,0,0,0,0,0,0,16.99324
2,4.909729,0,0,0,0,0,0,0,0,0,0,0,0,22.20006
2,7.716758,0,0,0,0,0,0,0,0,0,0,0,0,14.53413
2,5.462016,0,0,0,0,0,0,0,0,0,0,0,0,23.19411
2,5.874927,0,0,0,0,0,0,0,0,0,0,0,0,20.59792
2,9.076594,0,0,0,0,0,0,0,0,0,0,0,0,19.0831
2,5.164679,0,0,0,0,0,0,0,0,0,0,0,0,22.61221
2,7.033955,0,0,0,0,0,0,0,0,0,0,0,0,21.76539
2,9.018497,0,0,0,0,0,0,0,0,0,0,0,0,21.3074
2,4.22283,0,0,0,0,0,0,0,0,0,0,0,0,23.35784
2,4.837571,0,0,0,0,0,0,0,0,0,0,0,0,19.64644
2,6.395733,0,0,0,0,0,0,0,0,0,0,0,0,20.53752
2,7.781418,0,0,0,0,0,0,0,0,0,0,0,0,21.35186
2,13.46432,0,0,0,0,0,0,0,0,0,0,0,0,14.26148
2,6.870517,0,0,0,0,0,0,0,0,0,0,0,0,21.60219
2,6.41954,0,0,0,0,0,0,0,0,0,0,0,0,22.64524
2,8.497243,0,0,0,0,0,0,0,0,0,0,0,0,16.52081
2,7.773168,0,0,0,0,0,0,0,0,0,0,0,0,22.093
2,4.121947,0,0,0,0,0,0,0,0,0,0,0,0,19.28901
2,7.079154,0,0,0,0,0,0,0,0,0,0,0,0,18.98518
2,3.612031,0,0,0,0,0,0,0,0,0,0,0,0,23.41134
2,4.243093,0,0,0,0,0,0,0,0,0,0,0,0,21.62767
2,6.425385,0,0,0,0,0,0,0,0,0,0,0,0,23.86081
2,5.801915,0,0,0,0,0,0,0,0,0,0,0,0,25.91702
2,5.389679,0,0,0,0,0,0,0,0,0,0,0,0,19.07727
2,5.376305,0,0,0,0,0,0,0,0,0,0,0,0,19.05161
2,6.269598,0,0,0,0,0,0,0,0,0,0,0,0,19.97756
2,5.31898,0,0,0,0,0,0,0,0,0,0,0,0,19.69349
2,5.430289,0,0,0,0,0,0,0,0,0,0,0,0,21.91378
2,6.351462,0,0,0,0,0,0,0,0,0,0,0,0,19.34993
2,3.69431,0,0,0,0,0,0,0,0,0,0,0,0,16.78365
2,7.537311,0,0,0,0,0,0,0,0,0,0,0,0,17.9512
2,5.123957,0,0,0,0,0,0,0,0,0,0,0,0,23.15549
2,5.280893,0,0,0,0,0,0,0,0,0,0,0,0,21.55708
2,8.158583,0,0,0,0,0,0,0,0,0,0,0,0,24.50344
